n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.2591182364729459,430275937274549.1,0.24411777174981847,0.015000464723127428,0.4514051439996139,0.9992747667116116,5.8581031780657414e-12,5.129456922729483e-12,1.0982649467885583e-12,5.3339617140613,0.21410940053360472,0.06144765543125019,-15.733491017629552,76.29512374323731,37.73590478488559
0.2602004008016032,432072913346693.4,0.24512649298831485,0.01507390781328838,0.4515973326832241,0.9984445542592825,5.843814828417102e-12,5.131993200461514e-12,1.1013051079509201e-12,5.306263256410442,0.21459597956051094,0.06149440490713075,-16.085250953901554,76.00210691730697,37.382102587267
0.26128256513026055,433869889418837.7,0.24613538223480483,0.015147182895455724,0.4517760712587378,0.9976022777405089,5.829662852539503e-12,5.134654890695587e-12,1.1043550143100098e-12,5.278794207478488,0.21507872248847554,0.061540046611445014,-16.43728801123199,75.71136938128488,37.02798572505972
0.26236472945891787,435666865490982.0,0.24714443986822032,0.015220289590697551,0.45194149817429696,0.996748184059463,5.815645366677151e-12,5.137440652981831e-12,1.1074145960717125e-12,5.251552026952469,0.21555764258395002,0.061584592389831425,-16.789603912786998,75.42287228969307,36.673553461760605
0.26344689378757513,437463841563126.2,0.24815366624537602,0.015293227542199105,0.4520937504903484,0.995882516326192,5.80176052026861e-12,5.140349181671222e-12,1.110483784493939e-12,5.224534208676035,0.21603275288253865,0.06162805399408066,-17.142200361920526,75.13657760562687,36.31880506108749
0.2645290581162325,439260817635270.56,0.24916306170132563,0.015365996414906886,0.45223296389353135,0.995005513903336,5.788006495222051e-12,5.1433792050065246e-12,1.1135625118722452e-12,5.197738280081475,0.21650406619607443,0.06167044308247531,-17.495079042549783,74.85244808016489,35.96373978698948
0.26561122244488977,441057793707414.8,0.2501726265497094,0.01543859589518039,0.4523592727105189,0.994117412452466,5.774381505208781e-12,5.146529484242779e-12,1.1166507115259792e-12,5.1711618016323975,0.21697159511955552,0.0617117712201528,-17.84824161952181,74.57044723238428,35.60835690365718
0.26669338677354715,442854769779559.1,0.2511823610830951,0.015511025690452046,0.45247280992180827,0.9932184439800265,5.760883794974389e-12,5.1497988127962545e-12,1.1197483177849432e-12,5.144802366276753,0.21743535203794467,0.06175204987949274,-18.201689738970636,74.29053932995771,35.25265567553295
0.2677755511022044,444651745851703.4,0.2521922655733102,0.015583285528894207,0.452573707175454,0.992308836882885,5.747511639667192e-12,5.1531860154207924e-12,1.1228552659765596e-12,5.118657598910148,0.21789534913283562,0.06179129044052414,-18.555425028665862,74.01268937031719,34.89663536732132
0.26885771543086173,446448721923847.7,0.2532023402717678,0.015655375159093942,0.4526620948007402,0.9913888159934743,5.73426334418335e-12,5.156689947410576e-12,1.1259714924135344e-12,5.092725155849091,0.21835159838898968,0.06182950419135413,-18.909449098352532,73.73686306236232,34.540295243999
