n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.4614829659318638,766310462765531.1,0.4172049520417004,0.04427801389016339,3.4096932315267006e-12,1.0048911769137409e-11,8.435871275086701e-12,0.4041898128052762,0.8394810770451048,0.10613012542990555,0.8297694024921228,0.5260328142776506,-68.00603931065375,6.118894754800873,43.11402845304622
0.4625651302605211,768107438837675.4,0.41817497809917176,0.04439015216134935,3.4053837296612196e-12,1.008281347509721e-11,8.513972862340132e-12,0.3999758731583769,0.844404479302147,0.1061521001642094,0.8294276379240049,0.5254530897246447,-68.15736434881418,6.034296521033763,42.95937934469026
0.4636472945891784,769904414909819.6,0.41914524095798233,0.04450205363119608,3.4010995757170386e-12,1.0116902596303992e-11,8.59288889555642e-12,0.3958039743159981,0.8493596546729292,0.1061733482395837,0.8290864585005913,0.5248745198278991,-68.3086144864165,5.950074130414311,42.8048246353036
0.4647294589178357,771701390981963.9,0.4201157414440124,0.04461371747382327,3.39684059658165e-12,1.0151180208173135e-11,8.672628333056917e-12,0.3916737194460559,0.8543468005891792,0.10619387248018367,0.8287458641837138,0.5242971007559651,-68.45979029731983,5.866224938246308,42.6503638079395
0.465811623246493,773498367054108.2,0.4210864803795159,0.044725142866977124,3.39260662092523e-12,1.0185647396454892e-11,8.753200231125094e-12,0.3875847154577385,0.8593661149287025,0.10621367569594575,0.8284058549301715,0.5237208286963524,-68.61089235338706,5.782746329908729,42.49599634659904
0.4668937875751503,775295343126252.5,0.4220574585831402,0.044836328992010135,3.3883974791783806e-12,1.0220305257311192e-11,8.83461374491618e-12,0.38353657296316,0.8644177959945233,0.10623276068269724,0.828066430691784,0.5231456998554035,-68.7619212244993,5.699635720437744,42.341721736229005
0.46797595190380764,777092319198396.8,0.42302867686994583,0.04494727503386181,3.3842130035101974e-12,1.0255154897393819e-11,8.916878129369666e-12,0.3795289062394562,0.8695020424933557,0.10625113022226673,0.8277275914154433,0.5225717104581714,-68.91287747857005,5.616890554115528,42.18753946272
0.46905811623246496,778889295270541.1,0.42400013605142567,0.045057980181039306,3.3800530278066683e-12,1.0290197433923666e-11,9.000002740123809e-12,0.3755613331913464,0.874619053513349,0.10626878708259273,0.8273893370431649,0.5219988567482958,-69.0637616815589,5.534508304066296,42.03344901290447
0.4701402805611223,780686271342685.4,0.424971836935524,0.045168443625598284,3.3759173876494116e-12,1.0325433994771368e-11,9.0839970344322e-12,0.3716334753141435,0.8797690285010963,0.10628573401783131,0.8270516675121387,0.521427134987882,-69.21457439748559,5.452486471858933,41.879449874554794
0.4712224448897796,782483247414829.6,0.4259437803266553,0.04527866456312429,3.3718059202947148e-12,1.0360865718539033e-11,9.168870572082307e-12,0.3677449576571956,0.8849521672379316,0.10630197376846351,0.826714582754779,0.5208565414573804,-69.36531618844349,5.370822587116333,41.725541536381215
