n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.08705410821643286,144556741803607.2,0.08409856116982976,0.0029555470466030988,0.12075264858168304,0.7174404131017067,1.3197462454055843e-11,1.6859068917217237e-11,1.1084146037175237e-12,11.906611848844946,0.0657458967135226,0.03514384795043791,0.885896074293626,0.7428618516357712,42.09846590539174,299.18150461158325,99.8962885293613
0.08813627254509018,146353717875751.5,0.0851113757264132,0.003024896818676985,0.12509868789758077,0.7244348349371277,1.304530060262295e-11,1.636287615160265e-11,1.1096965019990158e-12,11.755737338202874,0.06781793687843365,0.035540452646428654,0.8845729315217554,0.7405427806569519,41.979820425056474,293.8952594509712,99.84505745625009
0.0892184368737475,148150693947895.78,0.08612360095218294,0.0030948359215645627,0.12944091660630652,0.7313347499328802,1.2897055212064521e-11,1.5900145912980352e-11,1.1110907178491867e-12,11.607562735318519,0.06987927808524882,0.035934817951734976,0.8832525037728215,0.73823900430018,41.86327656313297,288.79591071987005,99.7939997713248
0.09030060120240481,149947670020040.06,0.08713524391373816,0.003165357288666655,0.1337768452856871,0.7381402808446813,1.2752578471318062e-11,1.5467876441965087e-11,1.112594709010429e-12,11.462016103474499,0.07192937654918852,0.036326945865903404,0.8819347991438736,0.7359503619854665,41.748762674723395,283.874466536902,99.74311479837074
0.09138276553106212,151744646092184.34,0.08814631160952986,0.0032364539215322514,0.13810412812664827,0.7448515774053303,1.2611729853259002e-11,1.5063403252640318e-11,1.1142060608750547e-12,11.319028226569001,0.07396775099144719,0.03671683888339061,0.8806198254317923,0.733676695448034,41.63621048713834,279.12247485585385,99.69240185934015
0.09246492985971944,153541622164328.62,0.08915681097007169,0.0033081188896477475,0.14242055616107652,0.7514688150650133,1.2474375674402543e-11,1.4684354122117305e-11,1.1159224793721328e-12,11.17853247424604,0.07599397767800702,0.03710449996644925,0.8793075901373589,0.7314178486969605,41.525554902469864,274.53198490932505,99.64186027451288
0.09354709418837676,155338598236472.94,0.09016674885819002,0.003380345330186734,0.14672405078424586,0.757992193786241,1.2340388686009855e-11,1.4328610984751303e-11,1.1177417843344968e-12,11.040464675262472,0.07800768584784752,0.03748993251939449,0.8779981004693694,0.729173667974648,41.416733813878956,270.0955118298684,99.59148936265217
0.09462925851703408,157135574308617.25,0.09117613206931055,0.00345312644772353,0.15101265756026333,0.7644219368907813,1.2209647694025301e-11,1.3994277541058109e-11,1.1196619033084817e-12,10.904762998497217,0.08000855349791955,0.03787314036417472,0.8766913633487806,0.7269440017170961,41.30968793449875,265.8060041529056,99.54128844115567
0.09571142284569138,158932550380761.5,0.09218496733177788,0.003526455513913505,0.1552845402993454,0.7707582899560861,1.2082037205508842e-11,1.3679651617919247e-11,1.1216808657722653e-12,10.771367841057437,0.08199630349525519,0.03825412771717575,0.8753873854128866,0.7247287005149705,41.20436063795481,261.65681393627096,99.49125682620186
0.09679358717434869,160729526452905.78,0.09319326130720583,0.003600325867142857,0.15953797539608922,0.7770015197588507,1.1957447099441239e-11,1.338320149617819e-11,1.1237967977316758e-12,10.640221722981158,0.08397069998928103,0.03863289916718984,0.8740861730195149,0.7225276170754487,41.100697809592525,257.6416692583723,99.441393832892
0.09787575150300601,162526502525050.1,0.09420102059085549,0.003674730912150527,0.16377134641824556,0.7831519132634825,1.1835772319971005e-11,1.310354556475102e-11,1.1260079166649992e-12,10.51126918807649,0.08593154509982386,0.039009459654487544,0.8727877322512351,0.7203406061848286,40.99864770758268,253.75464888100868,99.39169877538767
0.09895791583166333,164323478597194.38,0.0952082517120387,0.0037496641196246277,0.16798313893585243,0.7892097766533613,1.1716912590344603e-11,1.2839434774913143e-11,1.1283125267907853e-12,10.384456710474138,0.08787867585848756,0.0393838144509327,0.8714920689195786,0.7181675246718874,40.89816083314844,249.99015888429517,99.34217096704394
0.10004008016032065,166120454669338.66,0.09621496113454503,0.0038251190257756265,0.17217193558091481,0.7951754344029046,1.1600772145916728e-11,1.2589737460608716e-11,1.1307090146348045e-12,10.259732606504015,0.08981196138304019,0.039755969141084604,0.8701991885692589,0.7160082313719737,40.79918980922275,246.34291110018907,99.2928097205386
0.10112224448897796,167917430741482.94,0.09722115525708953,0.0039010892318884272,0.17633641132815733,0.8010492283885416,1.148725948477747e-11,1.23534261651741e-11,1.1331958448743587e-12,10.13704695153652,0.09173130026623576,0.04012592960423553,0.8689090964823905,0.7138625870918192,40.701689266904275,242.80790318808695,99.24361434799702
