k_F,Delta_p,Delta_n
[1/fm],[MeV],[MeV]
2.64,,0.19368706141409114
2.65,,0.18808724767596552
2.66,,0.18251021461988637
2.67,,0.1769593094599753
2.68,,0.17143787613501804
2.69,,0.1659492538786661
2.7,,0.16049677573441606
2.71,,0.15508376701652798
2.72,,0.14971354371819987
2.73,,0.14438941086850127
2.74,,0.1391146608397255
2.75,,0.1338925716070024
2.7600000000000002,,0.12872640496216917
2.77,,0.12361940468407746
2.7800000000000002,,0.11857479466766306
2.79,,0.11359577701428208
2.8000000000000003,,0.10868553008595985
2.81,,0.1038472065263677
2.82,,0.09908393125147753
2.83,,0.0943987994130018
2.84,,0.08979487433785648
2.85,,0.08527518544701784
2.86,,0.08084272615727721
2.87,,0.07650045176950337
2.88,,0.0722512773471467
2.89,,0.06809807558880736
2.9,,0.06404367469879528
2.91,,0.0600908562596812
2.92,,0.05624235311092139
2.93,,0.05250084723769178
2.94,,0.048868967674127836
2.95,,0.04534928842519711
2.96,,0.04194432641146918
2.97,,0.03865653944105427
2.98,,0.035488324212994665
2.99,,0.03244201435637489
3.0,,0.029519878509403897
3.0100000000000002,,0.02672411844267791
3.02,,0.02405686723079418
3.0300000000000002,,0.021520187476415237
3.04,,0.019116069590817426
3.0500000000000003,,0.016846430134862138
3.06,,0.014713110224235057
3.0700000000000003,,0.012717874002678535
3.08,,0.010862407186823334
3.09,,0.009148315686081753
3.1,,0.007577124300920093
3.11,,0.006150275502663842
3.12,,0.0048691282978177985
3.13,,0.0037349571797032884
3.14,,0.0027489511700191697
3.15,,0.0019122129527361141
3.16,,0.0012257581025208039
3.17,,0.0006905144096726909
3.18,,0.0003073213033293851
3.19,,7.692937446890431e-05
3.2,,0.0
3.21,,
3.22,,
3.23,,
3.24,,
3.25,,
3.2600000000000002,,
3.27,,
3.2800000000000002,,
3.29,,
3.3000000000000003,,
3.31,,
3.3200000000000003,,
3.33,,
3.34,,
3.35,,
3.36,,
3.37,,
3.38,,
3.39,,
3.4,,
3.41,,
3.42,,
3.43,,
3.44,,
3.45,,
3.46,,
3.47,,
3.48,,
3.49,,
