n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[]
0.08056112224448897,133774885370741.45,0.07807005282543619,0.0024910694190527763,1.4375284827923664e-11,1.8517424098168923e-11,8.3752918534917e-13,17.163921066142358,0.04522924899862223,0.031908130312435945
0.08164328657314629,135571861442885.77,0.07908682918251579,0.0025564573906304987,1.4190251551010317e-11,1.779048598509017e-11,8.351562382263698e-13,16.991133995653684,0.046943981121499244,0.03232469195004306
0.08272545090180361,137368837515030.06,0.08010295119783369,0.002622499703969924,1.4010435969537827e-11,1.712098288974899e-11,8.329015923259728e-13,16.821238065366263,0.048648000975730424,0.032739114661244184
0.08380761523046093,139165813587174.34,0.08111842668968697,0.0026891885407739676,1.3835623890703031e-11,1.6502829820042095e-11,8.307613377677264e-13,16.654149948623814,0.050340538369898026,0.033151389277571615
0.08488977955911824,140962789659318.62,0.08213326341825966,0.002756516140858573,1.3665612558910144e-11,1.5930742184956395e-11,8.287317594068919e-13,16.489789855152132,0.05202091338779395,0.033561507556580925
0.08597194388777554,142759765731462.9,0.08314746908489766,0.0028244748028778887,1.350020990858627e-11,1.5400111457179577e-11,8.268093250145649e-13,16.328081336465882,0.05368852863912904,0.033969462137133255
0.08705410821643286,144556741803607.2,0.08416105133147697,0.0028930568849558974,1.3339233874481723e-11,1.49069029307975e-11,8.249906743136911e-13,16.168951104300202,0.05534286217221347,0.03437524649687769
0.08813627254509018,146353717875751.5,0.08517401773985948,0.0029622548052306965,1.3182511754382287e-11,1.4447571181582395e-11,8.232726087991357e-13,16.012328861045095,0.05698346098814412,0.034778854911812256
0.0892184368737475,148150693947895.78,0.08618637583143024,0.0030320610423172647,1.302987961966432e-11,1.4018989798330154e-11,8.216520822769599e-13,15.858147141252237,0.0586099351020877,0.035180282417810405
0.09030060120240481,149947670020040.06,0.08719813306671065,0.0031024681356941622,1.2881181769571643e-11,1.3618392686215277e-11,8.201261920641259e-13,15.706341163366307,0.06022195210263461,0.03557952477400667
0.09138276553106212,151744646092184.34,0.08820929684504282,0.0031734686860192913,1.2736270225492758e-11,1.324332480562233e-11,8.186921707952918e-13,15.55684869090726,0.06181923216500162,0.035976578427941906
0.09246492985971944,153541622164328.62,0.08921987450433994,0.003245055355379504,1.2595004261873365e-11,1.2891600644865808e-11,8.173473787882469e-13,15.409609902396712,0.06340154347813766,0.0363714404823743
0.09354709418837676,155338598236472.94,0.09022987332089821,0.003317220867478538,1.2457249970717921e-11,1.2561269063767818e-11,8.160892969239032e-13,15.264567269382416,0.06496869804961514,0.036764108663668416
0.09462925851703408,157135574308617.25,0.09123930050926655,0.003389958007767527,1.2322879856918984e-11,1.2250583410250124e-11,8.149155200007187e-13,15.1216654419689,0.06652054785561272,0.03715458129167959
0.09571142284569138,158932550380761.5,0.09224816322216939,0.0034632596235219916,1.2191772461908859e-11,1.1957976021057234e-11,8.138237505269515e-13,14.980851141312447,0.0680569813063565,0.037542857251055696
0.09679358717434869,160729526452905.78,0.09325646855047962,0.0035371186238690724,1.2063812013357243e-11,1.1682036383319408e-11,8.128117929173669e-13,14.842073058582812,0.06957792000014379,0.037928935963883664
0.09787575150300601,162526502525050.1,0.09426422352323757,0.003611527979768433,1.1938888098844664e-11,1.1421492365605067e-11,8.11877548063886e-13,14.705281759935062,0.07108331574153934,0.03831281736361129
0.09895791583166333,164323478597194.38,0.09527143510771321,0.0036864807239501097,1.1816895361626888e-11,1.1175194032783346e-11,8.110190082522793e-13,14.570429597071874,0.07257314780155841,0.038694501870179664
0.10004008016032065,166120454669338.66,0.09627811020950826,0.003761969950812396,1.1697733216772306e-11,1.0942099644070287e-11,8.10234252399374e-13,14.437470623009844,0.07404742039965373,0.0390739903663052
0.10112224448897796,167917430741482.94,0.09728425567269537,0.0038379888162825854,1.1581305586104903e-11,1.0721263502414505e-11,8.095214415873659e-13,14.306360512694358,0.07550616038912353,0.03945128417485326
